1 2 3
1 4 5
1 2 6
1 7 8
1 9 3
1 4 10
1 11 12
1 4 2
1 2 3
1 4 13
1 2 4
1 4 2
1 2 3
1 14 15
1 16 17
1 2 3
1 18 6
1 19 11
1 20 7
1 6 3
1 19 11
1 4 2
1 2 21
1 14 22
1 14 23
1 3 5
1 24 13
1 7 16
1 25 6
1 26 16
1 4 27
1 4 2
1 19 11
1 2 3
1 4 28
1 2 3
1 19 11
1 14 29
1 2 5
1 7 4
1 30 16
1 31 32
1 2 25
1 33 34
1 35 36
1 4 2
1 4 37
1 38 39
1 14 15
1 11 5
1 2 25
1 4 5
1 2 4
1 2 40
1 2 4
1 2 11
1 2 33
1 41 19
1 4 42
1 2 13
1 2 3
1 14 7
1 7 43
1 7 13
1 6 44
1 4 27
1 11 45
1 2 46
1 2 46
1 10 25
1 15 6
1 14 47
1 14 16
1 15 6
1 4 5
1 2 34
1 25 18
1 25 16
1 41 48
1 26 10
1 14 39
1 26 10
1 9 3
1 11 21
1 49 50
1 7 33
1 2 3
1 37 13
1 19 25
1 37 13
1 21 25
1 2 25
1 2 28
1 10 51
1 2 52
1 15 4
1 7 53
1 3 16
1 53 54
1 37 13
1 2 7
1 55 37
1 2 37
1 4 27
1 56 2
1 2 28
1 2 4
1 14 57
1 4 27
1 58 7
1 4 37
1 37 13
1 2 53
1 2 59
1 37 17
1 2 60
1 53 4
1 2 3
1 13 2
1 61 17
1 56 41
1 62 39
1 37 13
1 38 13
1 2 3
1 2 3
1 6 10
1 63 25
1 2 5
1 2 32
1 48 4
1 21 4
1 41 16
1 38 2
1 2 7
1 4 3
1 64 11
1 18 17
1 19 11
1 17 65
1 19 11
1 37 16
1 21 4
1 2 4
1 2 13
1 37 13
1 22 5
1 16 17
1 66 2
1 13 4
1 19 64
1 14 67
1 14 68
1 14 64
1 14 69
1 70 2
1 71 2
1 4 34
1 2 21
1 10 51
1 72 6
1 73 74
1 2 57
1 3 21
1 2 19
1 2 3
1 2 75
1 5 2
1 2 42
1 4 6
1 2 19
1 4 39
1 4 2
1 4 39
1 3 76
1 2 41
1 4 34
1 2 64
1 2 37
1 5 11
1 71 15
1 2 64
1 2 5
1 38 4
1 38 2
1 4 60
1 60 2
1 4 2
1 38 2
1 77 2
1 22 2
1 38 2
1 78 4
1 5 46
1 2 79
1 2 6
1 2 15
1 19 2
1 2 4
1 19 45
1 38 27
1 2 46
1 80 17
1 2 11
1 64 4
1 2 4
1 2 3
1 2 39
1 33 2
1 81 2
1 2 4
1 2 7
1 64 5
1 38 4
1 64 39
1 4 2
1 14 82
1 14 82
1 2 4
1 2 53
1 17 18
1 4 2
1 7 4
1 2 35
1 5 2
1 19 4
1 78 9
1 2 3
1 4 5
1 2 6
1 7 8
1 9 3
1 4 10
1 11 12
1 4 2
1 2 3
1 4 13
1 2 4
1 4 2
1 2 3
1 14 15
1 16 17
1 2 3
1 18 6
1 19 11
1 20 7
1 6 3
1 19 11
1 4 2
1 2 21
1 14 22
1 14 23
1 3 5
1 24 13
1 7 16
1 25 6
1 26 16
1 4 27
1 4 2
1 19 11
1 2 3
1 4 28
1 2 3
1 19 11
1 14 29
1 2 5
1 7 4
1 30 16
1 31 32
1 2 25
1 33 34
1 35 36
1 4 2
1 4 37
1 38 39
1 14 15
1 11 5
1 2 25
1 4 5
1 2 4
1 2 40
1 2 4
1 2 11
1 2 33
1 41 19
1 4 42
1 2 13
1 2 3
1 14 7
1 7 43
1 7 13
1 6 44
1 4 27
1 11 45
1 2 46
1 2 46
1 10 25
1 15 6
1 14 47
1 14 16
1 15 6
1 4 5
1 2 34
1 25 18
1 25 16
1 41 48
1 26 10
1 14 39
1 26 10
1 9 3
1 11 21
1 49 50
1 7 33
1 2 3
1 37 13
1 19 25
1 37 13
1 21 25
1 2 25
1 2 28
1 10 51
1 2 52
1 15 4
1 7 53
1 3 16
1 53 54
1 37 13
1 2 7
1 55 37
1 2 37
1 4 27
1 56 2
1 2 28
1 2 4
1 14 57
1 4 27
1 58 7
1 4 37
1 37 13
1 2 53
1 2 59
1 37 17
1 2 60
1 53 4
1 2 3
1 13 2
1 61 17
1 56 41
1 62 39
1 37 13
1 38 13
1 2 3
1 2 3
1 6 10
1 63 25
1 2 5
1 2 32
1 48 4
1 21 4
1 41 16
1 38 2
1 2 7
1 4 3
1 64 11
1 18 17
1 19 11
1 17 65
1 19 11
1 37 16
1 21 4
1 2 4
1 2 13
1 37 13
1 22 5
1 16 17
1 66 2
1 13 4
1 19 64
1 14 67
1 14 68
1 14 64
1 14 69
1 70 2
1 71 2
1 4 34
1 2 21
1 10 51
1 72 6
1 73 74
1 2 57
1 3 21
1 2 19
1 2 3
1 2 75
1 6 4
1 2 64
1 4 2
1 13 15
1 38 41
1 33 83
1 19 64
1 2 3
1 84 2
1 4 2
1 85 52
1 7 6
1 14 2
1 64 13
1 4 9
1 53 2
1 38 2
1 2 3
1 2 11
1 2 5
1 4 38
1 16 53
1 37 53
1 2 53
1 13 37
1 18 2
1 53 7
1 41 13
1 2 46
1 33 18
1 2 25
1 53 37
1 86 2
1 2 46
1 53 37
1 64 28
1 2 87
1 2 4
1 80 4
1 14 2
1 26 16
1 4 34
1 64 39
1 14 6
1 53 37
1 2 4
1 2 16
1 2 4
1 52 34
1 45 87
1 2 38
1 25 78
1 25 78
1 2 25
1 2 33
1 7 17
1 2 88
1 25 18
1 89 2
1 6 25
1 25 3
1 2 4
1 90 38
1 2 3
1 15 11
1 7 34
1 2 42
1 38 33
1 5 13
1 38 37
1 7 13
1 2 46
1 4 91
1 7 13
1 2 18
1 55 92
1 6 53
1 13 2
1 7 2
1 46 6
1 2 13
1 13 45
1 17 83
1 38 22
1 78 9
1 6 18
1 41 93
1 56 94
1 19 95
1 37 96
1 2 64
1 83 30
1 4 2
1 4 97
1 98 2
